Nom,Grup parlamentari,Circumscripció,"Legislatures anteriors",Inici mandat,Fi mandat,Càrrec
Georgina Rieradevall i Tarrés,Mixt (CUP),Barcelona,,17 de desembre de 2012,28 de maig de 2013,
Irene Rigau i Oliver,CIU (CDC),Barcelona,"VII, VIII, IX",17 de desembre de 2012,,Consellera d'Ensenyament
Albert Rivera Díaz,C's,Barcelona,"VIII, IX",17 de desembre de 2012,,
Jordi Roca Mas,PPC,Tarragona,IX,17 de desembre de 2012,,
Santiago Rodríguez Serra,PPC,Barcelona,"VII, VIII, IX",17 de desembre de 2012,,
Meritxell Roigé i Pedrola,CIU (CDC),Tarragona,IX,17 de desembre de 2012,,
Alícia Romero Llano,Socialista (PSC),Barcelona,,17 de desembre de 2012,,
Àngel Ros i Domingo,Socialista (PSC),Lleida,,17 de desembre de 2012,16 de gener de 2014,
Montserrat Roura i Massaneda,CIU (CDC),Girona,IX,12 de febrer de 2013,20 de març de 2013,
Marta Rovira i Vergés,ERC,Barcelona,,17 de desembre de 2012,,
Dolors Rovirola i Coromí,CIU (CDC),Girona,"VIII, IX",17 de desembre de 2012,,
Agnès Russiñol i Amat,ERC,Barcelona,,26 de febrer de 2013,,
Xavier Sabaté i Ibarz,Socialista (PSC),Tarragona,"VIII, IX",17 de desembre de 2012,,
Sergi Sabrià i Benito,ERC,Girona,,17 de desembre de 2012,,
Josep Lluís Salvadó i Tenesa,ERC,Tarragona,,17 de desembre de 2012,,
Fernando Sánchez Costa,PPC,Barcelona,,17 de desembre de 2012,,
Alicia Sánchez-Camacho Pérez,PPC,Barcelona,"VI, VII, IX",17 de desembre de 2012,,Senadora autonòmica
Marc Sanglas i Alcantarilla,ERC,Barcelona,IX,17 de desembre de 2012,,
Sergio Santamaría Santigosa,PPC,Girona,,17 de desembre de 2012,,
Joan Maria Sardà i Padrell,CIU (CDC),Tarragona,IX,17 de desembre de 2012,,
Núria Segú i Ferré,Socialista (PSC),Tarragona,"VI, VII, VIII, IX",17 de desembre de 2012,,
Maria Senserrich i Guitart,CIU (CDC),Barcelona,IX,12 de febrer de 2013,,
Jordi Solé i Ferrando,ERC,Barcelona,,17 de desembre de 2012,,
Anna Solé i Ramos,CIU (UDC),Tarragona,,17 de desembre de 2012,,
Jordi Terrades Santacreu,Socialista (PSC),Barcelona,"VI, VII, VIII, IX",17 de desembre de 2012,,
Roger Torrent i Ramió,ERC,Girona,,17 de desembre de 2012,,
Jordi Turull i Negre,CIU (CDC),Barcelona,"VI, VIII, IX",17 de desembre de 2012,,
Isabel Vallet i Sànchez,Mixt (CUP),Barcelona,,4 de juny de 2013,,
Teresa Vallverdú i Albornà,ERC,Tarragona,,17 de desembre de 2012,,
Josep Vendrell Gardeñes,ICV-EUiA (ICV),Barcelona,IX,17 de desembre de 2012,,
Núria Ventura i Brusca,Socialista (PSC),Tarragona,"VIII, IX",17 de desembre de 2012,,
Alba Vergés i Bosch,ERC,Barcelona,,17 de desembre de 2012,,
Lorena Vicioso Adrià,ICV-EUiA (EUiA),Barcelona,,17 de desembre de 2012,,
Marc Vidal Pou,ICV-EUiA (ICV),Girona,,17 de desembre de 2012,,
Pere Vila i Fulcarà,CIU (CDC),Girona,,17 de desembre de 2012,,
Sara Vilà Galan,ICV-EUiA (ICV),Lleida,,17 de desembre de 2012,,
Santi Vila i Vicente,CIU (CDC),Girona,"VIII, IX",17 de desembre de 2012,5 de febrer de 2013,Conseller de Territori i sostenibilitat
Marta Vilalta i Torres,ERC,Barcelona,,17 de desembre de 2012,,
Sergi Vilamala i Bastarras,Socialista (PSC),Barcelona,,7 d'octubre de 2014,,
José Manuel Villegas Pérez,C's,Barcelona,,17 de desembre de 2012,,
Marisa Xandri Pujol,PPC,Lleida,IX,17 de desembre de 2012,,
